type,Grass,Poison,Fire,Flying,Water,Bug,Normal,Electric,Ground,Fighting,Psychic,Rock,Ice,Ghost,Dragon
Grass,1,9,0,0,0,2,0,0,0,0,2,0,0,0,0
Poison,9,10,0,2,2,5,0,0,2,0,0,0,0,3,0
Fire,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0
Flying,0,2,2,0,1,2,8,1,0,0,0,1,1,0,1
Water,0,2,0,1,18,0,0,0,0,1,3,4,3,0,0
Bug,2,5,0,2,0,3,0,0,0,0,0,0,0,0,0
Normal,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0
Electric,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0
Ground,0,2,0,0,0,0,0,0,6,0,0,6,0,0,0
Fighting,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0
Psychic,2,0,0,0,3,0,0,0,0,0,8,0,1,0,0
Rock,0,0,0,1,4,0,0,0,6,0,0,0,0,0,0
Ice,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0
Ghost,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragon,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
